"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"C1","CAP_0603","C0603","13.002mm","-4.542mm","13.002mm","-4.542mm","13.002mm","-5.242mm","2","T","90","Yes","0.1uF","0.1uF"
"C2","CAP_0603","C0603","9.472mm","-4.542mm","9.472mm","-4.542mm","9.472mm","-5.242mm","2","T","90","Yes","0.1uF","0.1uF"
"ESP32 C3 L","HX PZ2.54-1x7P ZZ","HDR-TH_7P-P2.54-V-M","3.828mm","25.251mm","3.828mm","25.251mm","3.828mm","17.631mm","7","T","90","No","ESP32C3L","ESP32C3L"
"SCD41","2.54-1*4","HDR-TH_4P-P2.54-V-M-1","2.286mm","6.096mm","2.286mm","6.096mm","2.286mm","2.286mm","4","T","90","No","2.54-1*4","2.54-1*4"
"U1","SK6812_C5378720","LED-SMD_4P-L5.0-W5.0-LS5.4-TL-1","18.725mm","-4.594mm","18.725mm","-4.594mm","16.375mm","-2.943mm","4","T","0","Yes","SK6812","SK6812"
"U2","SK6812_C5378720","LED-SMD_4P-L5.0-W5.0-LS5.4-TL-1","4.374mm","-4.594mm","4.374mm","-4.594mm","2.024mm","-2.943mm","4","T","0","Yes","SK6812","SK6812"
"ESP32 C3 R","HX PZ2.54-1x7P ZZ","HDR-TH_7P-P2.54-V-M","19.188mm","25.251mm","19.188mm","25.251mm","19.188mm","17.631mm","7","T","90","No","ESP32C3R","ESP32C3R"
